,0
DZANK1,1
DZIP1,1
DZIP3,1
DSEL,1
DSG3,1
DSG4,1
DSTYK,1
DTD2,1
DTHD1,1
DTX3,1
DUOX1,1
DUOXA1,1
DUSP1,1
DUSP10,1
DDX23,1
DCLRE1A,1
DCLRE1B,1
DCLRE1C,1
DCP2,1
DDB2,1
DDIT4,1
DDN,1
DUSP11,1
DUSP22,1
DUSP26,1
DUSP6,1
DYNC1I1,1
DYNC1LI2,1
DYNC2H1,1
DYRK1A,1
DYSF,1
EAPP,1
EBF3,1
EBNA1BP2,1
ECD,1
ECE2,1
ECH1,1
EDIL3,1
EDRF1,1
EEFSEC,1
EFCAB14,1
EFCAB3,1
EFCAB4A,1
DCAF6,1
DCBLD2,1
DCD,1
DCDC1,1
EIF4G3,1
EIF5B,1
ELF5,1
EFCAB5,1
EFCAB6,1
EFEMP1,1
EFHB,1
EFNB1,1
EFS,1
EGFL6,1
EGR3,1
EHBP1,1
EHD1,1
EHD2,1
EHHADH,1
EHMT1,1
EML5,1
EMR3,1
ENAM,1
ENDOG,1
ENG,1
EIF2AK3,1
EIF2AK4,1
EIF2B5,1
EIF3B,1
EIF3D,1
EIF4A1,1
EIF4B,1
EIF4E2,1
EIF4EBP1,1
EIF4G1,1
EIF4G2,1
DBP,1
DBT,1
DCAF12L2,1
DCAF16,1
DCAF4L2,1
DCAF5,1
ELK3,1
ELL,1
ELMOD3,1
ELOVL2,1
ELP4,1
ELP5,1
EMB,1
EMC7,1
EML1,1
EML2,1
EPRS,1
ENKD1,1
ENOSF1,1
ENOX2,1
ENPP3,1
ENPP7,1
ENTPD6,1
ENTPD7,1
ENY2,1
EOMES,1
EPB41L4A,1
DAO,1
DAPK2,1
DARS2,1
DBF4,1
DBF4B,1
CYP3A7,1
CYP4F11,1
CYP4F3,1
CYR61,1
CYSLTR2,1
DACH2,1
DACT1,1
EPB41L5,1
EPB42,1
EPG5,1
EPHA10,1
EPHB3,1
EPHX1,1
EPHX3,1
EPN3,1
EPO,1
ETS1,1
EPS15,1
EPS8L1,1
ERBB2IP,1
ERC2,1
ERCC6L,1
ERCC6L2,1
ERI3,1
ERLEC1,1
CYP27C1,1
CYP2A7,1
CYP2B6,1
CYP2C8,1
CYP2D6,1
CYP2U1,1
CYP3A4,1
EXD3,1
EXT1,1
EYA3,1
EZR,1
F10,1
ERN1,1
ERN2,1
ERV3-1,1
ESCO1,1
ESR2,1
ESRRB,1
ESRRG,1
ESX1,1
ESYT2,1
ETNK2,1
ETNPPL,1
CXCR4,1
CXorf22,1
CXorf30,1
CXorf57,1
CYC1,1
CYFIP2,1
CYLD,1
CYP11B2,1
CYP24A1,1
CYP27A1,1
ETS2,1
ETV1,1
ETV4,1
ETV5,1
ETV6,1
EWSR1,1
FAM171A1,1
FAM173B,1
FAM184B,1
FAM188B,1
F13A1,1
F13B,1
F9,1
FABP6,1
FAF1,1
FAH,1
FAM107B,1
FAM120AOS,1
FAM129A,1
FAM129B,1
FAM129C,1
CWH43,1
FAM26E,1
FAM47A,1
FAM47C,1
FAM63A,1
FAM65A,1
FAM71A,1
FAM71B,1
FAM71C,1
FAM135A,1
FAM13C,1
FAM154A,1
FAM155A,1
FAM155B,1
FAM159A,1
FAM161A,1
FAM167A,1
CTF1,1
CTIF,1
CTNNAL1,1
CTNNBL1,1
CTPS2,1
CTTNBP2,1
CTU1,1
CUL1,1
CUL2,1
CUL9,1
FAM200A,1
FAM210A,1
FAM214B,1
FAM217B,1
FAM221A,1
FAM228B,1
CTC-429C10.2,1
CTC1,1
CTD-2021H9.3,1
CTD-2224J9.8,1
FAM83H,1
FAM84A,1
FAM90A1,1
FAM92A1,1
FAM92B,1
FAM96A,1
FAM98A,1
FAM9A,1
FANCC,1
FANCE,1
CTD-3064M3.7,1
CTDP1,1
FARP2,1
FASTKD1,1
FBLL1,1
FBN1,1
FBN3,1
FBP2,1
FBRSL1,1
FBXL12,1
FBXL15,1
CSNK2B-LY6G5B-1181,1
CSRNP1,1
CST9,1
CSTF1,1
CSTL1,1
CT47B1,1
CTB-78H18.1,1
FEZ1,1
FEZF1,1
FFAR1,1
FFAR2,1
FGD6,1
FBXL19,1
FBXL4,1
FBXL7,1
FBXO11,1
FBXO18,1
FBXO21,1
FBXO38,1
FBXW10,1
FBXW4,1
FCGBP,1
FCGR1B,1
FGFR1,1
FGFR4,1
FHIT,1
FHL5,1
FKBP15,1
FKBP4,1
FLAD1,1
FCHSD1,1
FCN1,1
FCN3,1
FCRL1,1
FCRL5,1
FDXACB1,1
FER,1
FERMT2,1
FERMT3,1
CRYZL1,1
CS,1
CSAD,1
CSDE1,1
CSF3R,1
CSMD2,1
CSNK1G1,1
CSNK1G3,1
CSNK2A3,1
FGF10,1
FGF14,1
FGF18,1
FGF20,1
FGF21,1
FGF3,1
FGF8,1
FOPNL,1
FOSL2,1
FOXA1,1
FOXB2,1
FLG2,1
FLI1,1
FMN2,1
FMNL1,1
FMNL3,1
FMO1,1
FMO4,1
FMO5,1
FMO6P,1
FN1,1
CRYGA,1
CRYL1,1
CRLF1,1
CRNKL1,1
CROT,1
CRTC1,1
CRTC3,1
CRX,1
CRYBA2,1
CRYBG3,1
FN3K,1
FNBP1,1
FNBP1L,1
FNBP4,1
FNDC3A,1
FNDC3B,1
FNDC7,1
FNIP1,1
FOXD3,1
FOXF2,1
FOXG1,1
FOXK2,1
FOXO3,1
FOXO6,1
FOXP1,1
FOXP2,1
FOXQ1,1
FPR1,1
CRABP1,1
CRB1,1
CRB2,1
CREBBP,1
CRIPAK,1
CRISP3,1
GABBR2,1
GABRA3,1
FRAT2,1
FREM1,1
FREM2,1
FREM3,1
FRMD3,1
FRMD4A,1
FRMD8,1
FRMPD2,1
FRRS1L,1
FRY,1
FSCB,1
FSD1L,1
FSD2,1
FSIP1,1
GALNT11,1
GALNT13,1
GALNT4,1
GALNT6,1
GALNT7,1
GALNT8,1
GALNTL5,1
FSTL5,1
FTMT,1
FUK,1
FURIN,1
FUT9,1
FXYD6,1
FZD2,1
FZD6,1
G6PD,1
GAS2L2,1
GATA1,1
GATA5,1
GATS,1
GBA2,1
GBE1,1
GBP1,1
GBP2,1
GABRA4,1
GABRA5,1
GABRE,1
GAD2,1
GAK,1
GAL3ST2,1
GALK1,1
GALK2,1
COX14,1
CPA1,1
CPA4,1
CPB2,1
CPD,1
CPE,1
CPEB4,1
CPOX,1
CPPED1,1
CPSF3,1
CPXM1,1
CR1,1
GAPT,1
GAPVD1,1
GAREML,1
GARS,1
GIGYF2,1
GIMAP4,1
GIMAP8,1
GIPC1,1
GCC2,1
GCFC2,1
GCGR,1
GCM2,1
GCNT1,1
GCNT7,1
GDI1,1
GDPD2,1
GEM,1
GEN1,1
GFOD1,1
COX10,1
GJC1,1
GKAP1,1
GLCE,1
GLG1,1
GLI3,1
GLIPR1,1
GLIPR1L2,1
GLIS2,1
GFPT1,1
GFRA4,1
GH1,1
GHR,1
GHRHR,1
GHRL,1
GHSR,1
GID4,1
GLS,1
GLT1D1,1
GLT6D1,1
GLT8D1,1
GLT8D2,1
GLTSCR1L,1
GLTSCR2,1
GLYATL3,1
GMFG,1
GMPPB,1
GMPR2,1
GIT1,1
GJA1,1
GJA5,1
GJA9,1
GJB1,1
COL8A1,1
COL8A2,1
COL9A2,1
COLEC10,1
COMT,1
COPA,1
COPB1,1
COPB2,1
COPRS,1
COPS3,1
COQ3,1
CORO7,1
GLIS3,1
GLRA3,1
GLRA4,1
GLRB,1
GPHA2,1
GPN1,1
GPR107,1
GPR110,1
GPR112,1
GPR113,1
GNAI1,1
GNAI3,1
GNB4,1
GNE,1
GNPAT,1
GNPTG,1
GNS,1
GOLGA8UP,1
GOLPH3L,1
COL6A2,1
COL24A1,1
COL27A1,1
COL2A1,1
COL4A1,1
COL4A2-AS2,1
COL4A3,1
COL5A2,1
COL6A1,1
GPAT2,1
GPATCH11,1
GPATCH8,1
GPBAR1,1
GPC3,1
GPC6,1
GPD1,1
GPER1,1
GPRC6A,1
GPS1,1
GPR115,1
GPR119,1
GPR12,1
GPR124,1
GPR128,1
GPR142,1
GPR15,1
GPR151,1
GPR156,1
GPR179,1
GPR183,1
GPR19,1
GPR25,1
