,,0
FSIP2,TP53,2
DDX41,TP53,2
MED12L,TP53,2
MIA3,MYO5A,2
MIA3,TTN,2
MUL1,ZNF460,2
ACTL9,PIK3CA,2
CSMD3,TIE1,2
PKHD1,TTN,2
ACTL9,TTN,2
PPP2R5D,SYNE1,2
B4GALNT4,CRIM1,2
BIRC6,HRG,2
NPAS4,ZNF536,2
C2CD3,TP53,2
AK7,HCK,2
IGSF8,SPTBN5,2
LINC00273,TP53,2
ANK3,PRDX6,2
COL6A5,THNSL1,2
NF1,USH2A,2
PRKCH,TP53,2
SETD1B,TP53,2
NES,OR10A4,2
DNAH6,TP53,2
PPP2R5D,TP53,2
CCDC73,KIF5A,2
BIRC6,OR2M2,2
CACNA1H,TTN,2
HEATR6,VCAN,2
FEM1A,TP53,2
AR,KDM5B,2
MIA3,USH2A,2
KIAA1324L,ZNF469,2
SOGA2,TP53,2
TTN,YTHDC1,2
PPP2R5D,TTN,2
CSRP2BP,TP53,2
